# x y vx vy
8.427179522840717141e+00 1.174850412554159895e+00 4.783627109914547204e-01 8.781623521495930396e-01
4.497826965704049940e+00 6.037012215707857621e+00 6.641685703189854628e-01 -7.475828450415611393e-01
4.872075446928591624e+00 7.358802331496843152e-01 -4.182492688091980493e-01 -9.083322900461984206e-01
3.406777558535213135e+00 3.582354276212925015e+00 8.857811083261913909e-01 4.641032515857048124e-01
4.203778031195917642e+00 9.213046734762356138e+00 9.577266116897429349e-01 -2.876799215469936222e-01
8.297166740343278946e+00 1.297538140491615311e+00 -6.521544763028547242e-01 7.580861026546715786e-01
2.635877872616667172e+00 7.257370400008579026e+00 -9.305814195673326461e-01 3.660849922573279902e-01
1.290505874419862475e-01 5.917489452540328543e+00 -6.850259246241821032e-01 7.285186906269353058e-01
4.457059116073446958e+00 4.279830813006592294e+00 6.287020225866697398e-01 7.776462992874271229e-01
3.048904639044692555e+00 9.832027702574382744e+00 -6.029214679457803872e-01 -7.978005411693485094e-01
7.816830881339149606e+00 6.057518944035967579e+00 -8.694586603456148088e-01 4.940057063941760140e-01
8.265537296472519557e+00 9.798399718793540103e+00 -6.707757506398416281e-01 -7.416602270268758401e-01
